name,rating,reviews,type_and_location
ICICI Prudential Life Insurance,3.9,(7.7k),Insurance | Mumbai +506 other locations
Hexaware Technologies,3.4,(7.5k),IT Services & Consulting | Chennai +69 other locations
HGS,3.7,(7.5k),BPO | Bengaluru +121 other locations
Jana Small Finance Bank,3.8,(7.5k),Banking | Bengaluru +418 other locations
Ujjivan Small Finance Bank,4.0,(7.5k),Banking | Bengaluru +536 other locations
Sun Pharmaceutical Industries,4.1,(7.5k),Pharma | Vadodara +264 other locations
Amazon Development Centre India,3.8,(7.4k),Internet | Hyderabad +146 other locations
Lupin,4.1,(7.3k),Pharma | Pune +203 other locations
Ekart Logistics,3.9,(7.3k),Logistics | Bengaluru +742 other locations
L&T Construction,4.0,(7.2k),Engineering & Construction | Chennai +433 other locations
Zydus Lifesciences,4.0,(7.2k),Pharma | Ahmedabad +178 other locations
Hindustan Unilever,4.2,(7.1k),FMCG | Mumbai +540 other locations
KPMG India,3.4,(7.1k),Management Consulting | Bengaluru +112 other locations
ITC,3.9,(7.1k),FMCG | Bengaluru +377 other locations
Axis Max Life Insurance,4.0,(7k),Insurance | New Delhi +500 other locations
Megha Engineering & Infrastructures,3.9,(6.8k),Engineering & Construction | Hyderabad +406 other locations
Tata Projects,4.2,(6.7k),Engineering & Construction | Mumbai +287 other locations
Coforge,3.3,(6.6k),IT Services & Consulting | Noida +103 other locations
Bajaj Life Insurance,3.8,(6.5k),Insurance | Pune +616 other locations
L&T Technology Services,3.1,(6.5k),IT Services & Consulting | Bengaluru +93 other locations
FIS,3.8,(6.5k),FinTech | Pune +60 other locations
Cholamandalam Investment & Finance,3.8,(6.5k),Financial Services | Chennai +850 other locations
Oracle,3.5,(6.3k),Software Product | Bengaluru +56 other locations
Omega Healthcare,3.8,(6.3k),BPO | Chennai +69 other locations
IIFL Finance,4.0,(6.3k),NBFC | Mumbai +804 other locations
Muthoot Finance,3.7,(6.3k),NBFC | Bengaluru +789 other locations
JLL,4.1,(6.2k),Real Estate | Gurugram +85 other locations
Indian Army,4.7,(6.2k),Defence & Aerospace | New Delhi +363 other locations
eClerx,3.1,(6.2k),IT Services & Consulting | Pune +32 other locations
HCL Group,3.5,(6.1k),IT Services & Consulting | Chennai +97 other locations
DMart,3.9,(6k),Retail | Mumbai +247 other locations
Virtusa Consulting Services,3.7,(6k),IT Services & Consulting | Hyderabad +55 other locations
Piramal Finance,4.2,(6k),NBFC | Mumbai +424 other locations
HSBC Group,3.9,(5.9k),Financial Services | Bengaluru +63 other locations
Indiamart Intermesh,3.5,(5.9k),Internet | Noida +173 other locations
PolicyBazaar,3.8,(5.9k),Internet | Gurugram +150 other locations
SMFG India Credit,3.9,(5.8k),NBFC | Mumbai +596 other locations
Access Healthcare,3.7,(5.8k),BPO | Chennai +63 other locations
BigBasket,3.9,(5.7k),Internet | Bengaluru +141 other locations
Aurobindo Pharma,4.0,(5.7k),Pharma | Hyderabad +115 other locations
Siemens,3.9,(5.7k),Industrial Automation | Bengaluru +154 other locations
Udaan,3.9,(5.7k),Internet | Bengaluru +367 other locations
GlobalLogic,3.5,(5.7k),IT Services & Consulting | Hyderabad +60 other locations
Manappuram Finance,3.9,(5.7k),NBFC | Bengaluru +657 other locations
Firstsource Solutions,3.5,(5.7k),BPO | Bengaluru +74 other locations
Tata Capital,4.0,(5.7k),NBFC | Mumbai +446 other locations
ICICI Lombard General Insurance Company,3.5,(5.7k),Insurance | Mumbai +316 other locations
Shapoorji Pallonji Group,4.1,(5.6k),Engineering & Construction | Mumbai +190 other locations
Standard Chartered,3.6,(5.6k),Banking | Chennai +67 other locations
UST,3.7,(5.6k),IT Services & Consulting | Bengaluru +51 other locations
Apollo Hospitals,4.1,(5.6k),Healthcare | Chennai +228 other locations
Mahindra Finance,3.9,(5.6k),NBFC | Mumbai +734 other locations
Bosch Global Software Technologies,3.7,(5.5k),IT Services & Consulting | Bengaluru +47 other locations
Ashok Leyland,4.0,(5.5k),Automobile | Chennai +266 other locations
Swiggy,3.7,(5.5k),Internet | Bengaluru +234 other locations
Citicorp,3.7,(5.4k),Financial Services | Pune +68 other locations
Hero MotoCorp,4.1,(5.4k),Automobile | Gurugram +369 other locations
CGI Group,4.0,(5.3k),IT Services & Consulting | Bengaluru +43 other locations
Cyient,3.6,(5.3k),IT Services & Consulting | Hyderabad +49 other locations
SBI Cards & Payment Services,3.6,(5.2k),Financial Services | Gurugram +443 other locations
BNY,3.6,(5.2k),Financial Services | Pune +26 other locations
Kalpataru Projects International,4.2,(5.2k),Engineering & Construction | Mumbai +323 other locations
IQVIA,3.7,(5.1k),Clinical Research | Bengaluru +66 other locations
NTT DATA,3.8,(5.1k),IT Services & Consulting | Bengaluru +81 other locations
JustDial,3.5,(5.1k),Internet | Noida +231 other locations
Nagarjuna Construction Company,4.0,(5.1k),Engineering & Construction | Hyderabad +298 other locations
SBI Life Insurance Company,3.7,(5k),Insurance | Mumbai +657 other locations
Schneider Electric,4.1,(5k),Industrial Automation | Bengaluru +119 other locations
CBRE,4.1,(5k),Real Estate | Hyderabad +91 other locations
TVS Motor,3.9,(5k),Automobile | Hosur +352 other locations
Persistent Systems,3.6,(5k),IT Services & Consulting | Pune +41 other locations
State Bank of India,3.8,(4.9k),Banking | Mumbai +620 other locations
vivo,4.1,(4.9k),Consumer Electronics & Appliances | Noida +415 other locations
Atos,3.8,(4.9k),IT Services & Consulting | Pune +49 other locations
KEC International,4.0,(4.8k),Engineering & Construction | Mumbai +312 other locations
Ecom Express,4.0,(4.8k),Logistics | Gurugram +778 other locations
Amdocs,3.6,(4.8k),Software Product | Pune +24 other locations
JBM Group,3.9,(4.8k),Auto Components | Gurugram +118 other locations
Eviden,3.6,(4.8k),IT Services & Consulting | Pune +39 other locations
Varun Beverages,4.0,(4.7k),Beverage | New Delhi +382 other locations
ITC Infotech,3.7,(4.7k),IT Services & Consulting | Bengaluru +68 other locations
Nagarro,3.9,(4.7k),IT Services & Consulting | Gurugram +49 other locations
Bosch,4.1,(4.6k),Auto Components | Bengaluru +132 other locations
Randstad,3.7,(4.6k),Recruitment | Hyderabad +357 other locations
EY Global Delivery Services ( EY GDS),3.5,(4.6k),IT Services & Consulting | Bengaluru +56 other locations
Utkarsh Small Finance Bank,3.6,(4.6k),Banking | Varanasi +407 other locations
Hewlett Packard Enterprise,4.1,(4.6k),IT Services & Consulting | Bengaluru +104 other locations
Home Credit Finance,4.0,(4.5k),NBFC | Gurugram +138 other locations
Cars24,3.5,(4.5k),Internet | Gurugram +171 other locations
Aditya Birla Fashion and Retail,4.0,(4.5k),Fashion & Textile | Bengaluru +292 other locations
Mahindra Logistics,3.7,(4.5k),Logistics | Mumbai +235 other locations
L&T Finance,3.9,(4.5k),NBFC | Mumbai +637 other locations
Havells,3.9,(4.5k),Electrical Equipment | Noida +262 other locations
Dell,3.8,(4.5k),Consumer Electronics & Appliances | Bengaluru +118 other locations
R1 RCM,3.8,(4.5k),BPO | New Delhi +46 other locations
Intas Pharmaceuticals,4.1,(4.5k),Pharma | Ahmedabad +150 other locations
OPPO,3.9,(4.5k),Consumer Electronics & Appliances | Greater Noida +412 other locations
Tata AIA Life Insurance,3.9,(4.4k),Insurance | Mumbai +445 other locations
Hyundai Motor India Limited,4.1,(4.4k),Automobile | Chennai +286 other locations
Deutsche Bank,3.8,(4.4k),Banking | Pune +42 other locations
Hetero,3.9,(4.4k),Pharma | Hyderabad +68 other locations
Motilal Oswal Financial Services,3.7,(4.3k),Financial Services | Mumbai +170 other locations
Berger Paints,3.7,(4.3k),Chemicals | Kolkata +357 other locations
TeamLease Services,3.9,(4.3k),Recruitment | Bengaluru +400 other locations
Lenskart,3.3,(4.3k),Internet | New Delhi +241 other locations
VE Commercial Vehicles,3.9,(4.3k),Automobile | Indore +180 other locations
Thermax Limited,4.2,(4.2k),Industrial Machinery | Pune +255 other locations
Bajaj Auto,3.8,(4.2k),Automobile | Pune +320 other locations
Macleods Pharmaceuticals,3.7,(4.2k),Pharma | Mumbai +135 other locations
Jubilant Foods Works,3.7,(4.1k),Hospitality | New Delhi +262 other locations
Aakash Educational Services,3.2,(4.1k),Education & Training | New Delhi +247 other locations
Kogta Financial India Limited,4.7,(4.1k),NBFC | Jaipur +260 other locations
LG Electronics,3.9,(4.1k),Consumer Electronics & Appliances | Pune +300 other locations
Jindal Steel Limited,3.9,(4.1k),Iron & Steel | Angul +175 other locations
Hindalco Industries,4.2,(4.1k),Metals & Mining | Sambalpur +129 other locations
Royal Enfield,4.2,(4.1k),Automobile | Chennai +376 other locations
State Street Corporation,3.5,(4k),Financial Services | Bengaluru +35 other locations
DCB Bank,3.8,(4k),Banking | Mumbai +344 other locations
Tata Communications,3.9,(4k),Telecom | Pune +102 other locations
HDFC Ergo General Insurance,4.0,(4k),Insurance | Mumbai +328 other locations
John Deere,4.0,(4k),Industrial Machinery | Pune +154 other locations
RBL Bank,3.5,(4k),Banking | Mumbai +288 other locations
Cummins,4.3,(3.9k),Industrial Machinery | Pune +116 other locations
Publicis Sapient,3.3,(3.9k),IT Services & Consulting | Bengaluru +46 other locations
Bank of America,4.1,(3.9k),Banking | Gurugram +35 other locations
Pidilite Industries,4.2,(3.9k),Chemicals | Mumbai +320 other locations
Alembic Pharmaceuticals,3.9,(3.9k),Pharma | Vadodara +187 other locations
Oyo Rooms,3.0,(3.9k),Internet | Gurugram +121 other locations
American Express,4.1,(3.8k),Financial Services | Gurugram +53 other locations
Subros,3.8,(3.8k),Auto Components | Noida +89 other locations
Aditya Birla Sun Life Insurance,4.0,(3.8k),Insurance | Mumbai +495 other locations
Reliance Communications,4.0,(3.8k),Telecom | Mumbai +468 other locations
Carelon Global Solutions,3.9,(4.1k),IT Services & Consulting | Bengaluru +21 other locations
Carelon Global Solutions,3.9,(4.1k),IT Services & Consulting | Bengaluru +21 other locations
XpressBees,4.2,(3.8k),Logistics | Pune +478 other locations
Altruist Technologies,4.4,(3.8k),BPO | Bengaluru +44 other locations
Kyndryl,4.0,(3.8k),IT Services & Consulting | Bengaluru +37 other locations
ADP Private Limited,3.9,(3.8k),Software Product | Hyderabad +41 other locations
PNB MetLife,3.3,(3.8k),Insurance | New Delhi +425 other locations
Viatris,4.1,(3.8k),Pharma | Hyderabad +80 other locations
PVR INOX,3.9,(3.8k),Media & Entertainment | New Delhi +149 other locations
Aditya Birla Capital,3.8,(3.8k),NBFC | Mumbai +341 other locations
Escorts Kubota Limited,4.1,(3.7k),Automobile | Faridabad +157 other locations
Maersk,4.0,(3.7k),Logistics | Chennai +49 other locations
Synechron,3.4,(3.7k),IT Services & Consulting | Pune +33 other locations
KPIT Technologies,2.9,(3.7k),Software Product | Pune +43 other locations
Birlasoft,3.5,(3.7k),IT Services & Consulting | Pune +50 other locations
JK Cement,4.0,(3.7k),Building Material | New Delhi +331 other locations
Glenmark Pharmaceuticals,3.8,(3.7k),Pharma | Mumbai +186 other locations
Sodexo,4.0,(3.6k),Facility Management Services | Mumbai +159 other locations
Dabur,3.8,(3.6k),FMCG | New Delhi +321 other locations
Cloudnine Hospital,4.4,(3.6k),Healthcare | Bengaluru +46 other locations
Kotak Mahindra Life Insurance Company,3.5,(3.6k),Insurance | Mumbai +257 other locations
Bharat Electronics,4.2,(3.6k),Electronics Manufacturing | Bengaluru +87 other locations
Godrej & Boyce Manufacturing,3.9,(3.6k),Consumer Electronics & Appliances | Mumbai +166 other locations
Samvardhana Motherson Group,3.7,(3.6k),Auto Components | Noida +94 other locations
Cogent E Services,3.1,(3.6k),BPO | Noida +56 other locations
Abbott,4.1,(3.6k),Pharma | Mumbai +214 other locations
Ipca Laboratories,3.8,(3.6k),Pharma | Mumbai +161 other locations
Aarti Industries,4.1,(3.6k),Agro Chemicals | Bharuch +58 other locations
PhonePe,4.1,(3.5k),FinTech | Bengaluru +398 other locations
Reliance Projects & Property Management Services,4.0,(3.5k),Other | Kolkata +620 other locations
Indian Oil Corporation,4.3,(3.5k),Oil & Gas | New Delhi +314 other locations
Reliance Digital,4.1,(3.5k),Retail | Mumbai +379 other locations
MRF Tyres,3.6,(3.5k),Auto Components | Chennai +194 other locations
Alkem Laboratories,3.9,(3.5k),Pharma | Mumbai +200 other locations
Johnson Controls,3.5,(3.5k),Industrial Automation | Pune +57 other locations
IGT Solutions,3.2,(3.5k),BPO | New Delhi +47 other locations
UNO Minda,4.0,(3.5k),Auto Components | Pune +110 other locations
"NTT DATA, Inc.",3.9,(3.5k),IT Services & Consulting | Bengaluru +36 other locations
Honda Motorcycle & Scooter,4.1,(3.5k),Automobile | Gurugram +300 other locations
ArcelorMittal Nippon Steel,4.1,(3.4k),Iron & Steel | Surat +86 other locations
Blinkit,3.8,(3.4k),Internet | Gurugram +149 other locations
[24]7.ai,3.4,(3.4k),Software Product | Bengaluru +36 other locations
Vishal Mega Mart,3.7,(3.4k),Retail | New Delhi +378 other locations
Hindustan Coca Cola Beverages,4.0,(3.4k),Beverage | Bengaluru +262 other locations
UBS,3.8,(3.4k),Financial Services | Pune +19 other locations
DTDC Express,3.7,(3.4k),Logistics | New Delhi +271 other locations
IndusInd Nippon Life Insurance,3.4,(3.4k),Mumbai +488 other locations
Bajaj General Insurance Limited,3.7,(3.4k),Insurance | Pune +303 other locations
Ford Motor,4.2,(3.4k),Automobile | Chennai +131 other locations
ABB,4.0,(3.4k),Industrial Machinery | Bengaluru +108 other locations
Barclays,3.7,(3.3k),Banking | Pune +35 other locations
Ceat Tyres,3.9,(3.3k),Auto Components | Nagpur +142 other locations
HARMAN,3.8,(3.3k),Consumer Electronics & Appliances | Bengaluru +42 other locations
RSPL Group,4.1,(3.3k),FMCG | Kanpur +256 other locations
AGS Health,4.0,(3.3k),Analytics & KPO | Chennai +64 other locations
TVS Credit Services Ltd,4.2,(3.3k),NBFC | Chennai +435 other locations
NatWest Group,4.0,(3.3k),Banking | Gurugram +28 other locations
Croma,3.8,(3.3k),Retail | Mumbai +192 other locations
InterGlobe Aviation,3.5,(3.2k),Aviation | New Delhi +105 other locations
Niva Bupa Health Insurance Company,4.0,(3.2k),Insurance | New Delhi +321 other locations
Alstom Transportation,3.7,(3.2k),Engineering & Construction | Bengaluru +80 other locations
Conduent,3.4,(3.2k),BPO | Bengaluru +34 other locations
Indian Air Force,4.6,(3.2k),Defence & Aerospace | New Delhi +134 other locations
GeBBS Healthcare Solutions,3.7,(3.2k),BPO | Mumbai +24 other locations
Tata Technologies,3.4,(3.2k),Engineering & Construction | Pune +58 other locations
Tata AIG,4.0,(3.2k),Insurance | Mumbai +260 other locations
Allcargo Logistics,3.8,(3.2k),Logistics | Mumbai +175 other locations
UPL,4.1,(3.2k),Agro Chemicals | Ankleshwar +185 other locations
Max Healthcare,3.9,(3.1k),Healthcare | New Delhi +78 other locations
Marpu Foundation,4.9,(3.1k),Non-Profit | Hyderabad +61 other locations
PepsiCo,4.1,(3.1k),Food Processing | Hyderabad +277 other locations
Amazon Transportation Services,4.2,(3.1k),Logistics | Hyderabad +226 other locations
Titan Company,4.2,(3.1k),Retail | Bengaluru +185 other locations
Dilip Buildcon,3.9,(3.1k),Engineering & Construction | Bhopal +229 other locations
Walmart,3.5,(3.1k),Retail | Bengaluru +91 other locations
Mankind Pharma,3.8,(3.1k),Pharma | New Delhi +247 other locations
Jindal Stainless,4.2,(3.1k),Iron & Steel | Jajpur +78 other locations
Varroc Group,3.6,(3.1k),Auto Components | Pune +62 other locations
S&P Global,4.0,(3.1k),Analytics & KPO | Hyderabad +47 other locations
MSN Laboratories,3.6,(3.1k),Pharma | Hyderabad +105 other locations
Societe Generale Global Solution Centre,3.6,(3k),IT Services & Consulting | Bengaluru +23 other locations
Quest Global,3.5,(3k),IT Services & Consulting | Bengaluru +49 other locations
Sagility,3.9,(3k),BPO | Bengaluru +27 other locations
Future Group,4.2,(3k),Retail | Mumbai +207 other locations
Afcons Infrastructure,4.2,(3k),Engineering & Construction | Mumbai +122 other locations
Torrent Pharmaceuticals,4.0,(3k),Pharma | Ahmedabad +130 other locations
IDFC FIRST Bharat,4.2,(3k),Financial Services | Chennai +426 other locations
Square Yards,3.6,(3k),Internet | Gurugram +51 other locations
Ola Electric Mobility,3.3,(3k),Automobile | Bengaluru +429 other locations
ESAF Small Finance Bank,3.6,(3k),Banking | Thrissur +445 other locations
HDFC Sales,3.9,(3k),Financial Services | Mumbai +346 other locations
CMS IT Services,3.1,(3k),IT Services & Consulting | Mumbai +152 other locations
Zensar Technologies,3.7,(2.9k),IT Services & Consulting | Pune +29 other locations
I Process Services,3.8,(2.9k),Recruitment | Mumbai +405 other locations
ACC,3.9,(2.9k),Building Material | Mumbai +274 other locations
DS Group,4.1,(2.9k),FMCG | Noida +282 other locations
Suzlon Group,4.0,(2.9k),Power | Pune +141 other locations
Tata Elxsi,3.5,(2.9k),IT Services & Consulting | Bengaluru +30 other locations
Eternal Limited,3.6,(2.9k),Internet | Gurugram +220 other locations
Bharat Financial Inclusion,3.7,(2.9k),Financial Services | Hyderabad +500 other locations
Fujitsu,3.8,(2.9k),IT Services & Consulting | Pune +41 other locations
VVDN Technologies,3.6,(2.9k),IT Services & Consulting | Gurugram +49 other locations
Shoppers Stop,4.0,(2.9k),Retail | Mumbai +82 other locations
Indus Towers,3.6,(2.9k),Telecom | Gurugram +242 other locations
Nokia,4.0,(2.9k),Telecom | Bengaluru +167 other locations
Apollo Tyres,4.0,(2.9k),Auto Components | Chennai +179 other locations
Yazaki,3.9,(2.9k),Auto Components | Pune +94 other locations
IKS Health,3.6,(2.8k),Healthcare | Mumbai +31 other locations
Shree Cement,3.8,(2.8k),Building Material | Beawar +257 other locations
Fiserv,2.9,(2.8k),FinTech | Pune +33 other locations
Britannia,4.0,(2.8k),FMCG | Pune +307 other locations
UnitedHealth,4.0,(2.8k),Healthcare | Hyderabad +18 other locations
Zepto,3.5,(2.8k),Internet | Bengaluru +104 other locations
Landmark Group,3.8,(2.8k),Retail | Bengaluru +175 other locations
SRF,4.1,(2.8k),Chemicals | Bharuch +68 other locations
Dalmia Bharat Cement,3.9,(2.7k),Building Material | Guwahati +253 other locations
Tata Electronics,3.9,(2.7k),Semiconductors | Hosur +50 other locations
Kansai Nerolac Paints,3.8,(2.7k),Chemicals | Mumbai +253 other locations
Blue Dart Express Ltd,3.9,(2.7k),Logistics | Mumbai +279 other locations
Exide Industries,3.4,(2.7k),Auto Components | Kolkata +201 other locations
Nestlé,3.8,(2.7k),FMCG | Gurugram +281 other locations
Shell,3.9,(2.7k),Oil & Gas | Bengaluru +91 other locations
Whitehat jr,3.3,(2.7k),EdTech | Mumbai +48 other locations
KPMG Global Services,3.5,(2.7k),Management Consulting | Bengaluru +37 other locations
ZS,3.1,(2.7k),Management Consulting | Pune +17 other locations
Flex,3.9,(2.7k),Electronics Manufacturing | Chennai +46 other locations
Star Health & Allied Insurance,3.5,(2.7k),Insurance | Chennai +331 other locations
Micro Labs,3.6,(2.7k),Pharma | Bengaluru +152 other locations
Capita,3.5,(2.7k),BPO | Pune +31 other locations
TVS Supply Chain Solutions,3.8,(2.7k),Logistics | Chennai +154 other locations
ElasticRun,3.6,(2.7k),Logistics | Pune +386 other locations
KFintech,3.4,(2.6k),Financial Services | Hyderabad +113 other locations
G4S,4.0,(2.6k),Law Enforcement & Security | Gurugram +163 other locations
Voltas,4.0,(2.6k),Consumer Electronics & Appliances | Mumbai +207 other locations
Exl India,3.5,(2.6k),Logistics | New Delhi +45 other locations
Sonalika Tractors,3.6,(2.6k),Automobile | Hoshiarpur +194 other locations
Blue Star,4.1,(2.6k),Consumer Electronics & Appliances | Mumbai +147 other locations
Ajanta Pharma,3.9,(2.6k),Pharma | Mumbai +118 other locations
Care Health Insurance,3.6,(2.6k),Insurance | Gurugram +246 other locations
BlackBuck,3.7,(2.6k),Internet | Bengaluru +365 other locations
Domino's Pizza,3.9,(2.6k),Hospitality | New Delhi +251 other locations
Movate,3.1,(2.6k),IT Services & Consulting | Chennai +38 other locations
Gallagher,3.7,(2.6k),Insurance | Bengaluru +29 other locations
NoBroker,3.0,(2.6k),Internet | Bengaluru +47 other locations
Fortis Healthcare,4.0,(2.6k),Healthcare | New Delhi +70 other locations
Physicswallah,3.6,(2.6k),EdTech | Noida +126 other locations
Adani Power,3.7,(2.6k),Power | Mundra +128 other locations
Himalaya Wellness,4.0,(2.5k),Pharma | Bengaluru +241 other locations
DBS Bank,3.7,(2.5k),Banking | Hyderabad +177 other locations
ACT Fibernet,3.9,(2.5k),Telecom | Hyderabad +57 other locations
Foxconn,3.9,(2.5k),Electronics Manufacturing | Chennai +61 other locations
Foundever,3.3,(2.5k),BPO | Hyderabad +22 other locations
Sahrudaya Healthcare (Medicover Hospitals),4.4,(2.5k),Healthcare | Hyderabad +46 other locations
Tata Advanced Systems,3.7,(2.5k),Defence & Aerospace | Bengaluru +58 other locations
Photon Interactive,4.1,(2.5k),IT Services & Consulting | Chennai +18 other locations
BT Group,3.8,(2.5k),Telecom | Gurugram +24 other locations
Sterlite Technologies,3.8,(2.5k),Hardware & Networking | Chhatrapati Sambhajinagar +101 other locations
V-Mart,4.1,(2.5k),Retail | Gurugram +284 other locations
Bajaj Electricals,3.9,(2.5k),Consumer Electronics & Appliances | Mumbai +234 other locations
Alldigi Tech,3.9,(2.5k),BPO | Chennai +36 other locations
IntouchCX,2.7,(2.5k),BPO | Hyderabad +22 other locations
Sammaan Capital Limited,3.8,(2.5k),NBFC | Gurugram +201 other locations
Tractors and Farm Equipment,3.9,(2.5k),Industrial Machinery | Chennai +192 other locations
Northern Trust Operating Services,3.6,(2.5k),Financial Services | Bengaluru +27 other locations
Laurus Labs,4.3,(2.5k),Pharma | Visakhapatnam +34 other locations
JCB,3.9,(2.5k),Industrial Machinery | Pune +113 other locations
Parle Agro,4.0,(2.5k),Beverage | Mumbai +258 other locations
Planet Spark,3.8,(2.4k),EdTech | Gurugram +61 other locations
McDonald's,3.8,(2.4k),Hospitality | New Delhi +151 other locations
Patanjali Ayurved,3.9,(2.4k),FMCG | Haridwar +301 other locations
Canara HSBC Life Insurance,3.6,(2.4k),Insurance | Gurugram +316 other locations
ICICI Securities,3.9,(2.4k),Financial Services | Mumbai +148 other locations
Paras Hospital,4.1,(2.4k),Healthcare | Patna +62 other locations
Statestreet HCL Services,3.4,(2.4k),BPO | Chennai +18 other locations
Emcure Pharmaceuticals,3.6,(2.4k),Pharma | Pune +116 other locations
Hero FinCorp,3.9,(2.4k),NBFC | New Delhi +393 other locations
Biocon Limited,4.1,(2.4k),Biotechnology | Bengaluru +65 other locations
Mahindra Rural Housing Finance,4.0,(2.4k),NBFC | Mumbai +463 other locations
Intellect Design Arena,3.6,(2.4k),Software Product | Chennai +40 other locations
Mahindra Holidays & Resorts,3.5,(2.4k),Hospitality | Mumbai +113 other locations
Datamatics Global Services,3.4,(2.4k),IT Services & Consulting | Mumbai +37 other locations
Adani Group,3.8,(2.4k),Power | Ahmedabad +197 other locations
